outcome	description	group	predictor	adjustment	beta	SE	lower	upper	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	note	bonferroni	fdr
209	Neuroendocrine tumors	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4497	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
210	Benign neoplasm of lip, oral cavity, and pharynx	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4486	1	4485	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
211	Benign neoplasm of other parts of digestive system	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4474	4	4470	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
212	Benign neoplasm of respiratory and intrathoracic organs	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4493	3	4490	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
213	Benign neoplasm of bone and articular cartilage	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4125	6	4119	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
214	Lipoma	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4471	5	4466	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
214.1	Lipoma of skin and subcutaneous tissue	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4471	5	4466	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
215	Other benign neoplasm of connective and other soft tissue	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4468	2	4466	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
216	Benign neoplasm of skin	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4338	34	4304	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
217	Vascular hamartomas and non-neoplastic nevi	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4304	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
217.1	Nevus, non-neoplastic	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4304	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
218	Benign neoplasm of uterus	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	2466	18	2448	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
218.1	Uterine leiomyoma	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	2466	18	2448	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
218.2	Other benign neoplasm of uterus	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	2448	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
220	Benign neoplasm of ovary	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	2450	8	2442	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
221	Benign neoplasm of other female genital organs	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	2445	4	2441	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
222	Benign neoplasm of male genital organs	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	1754	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
223	Benign neoplasm of kidney and other urinary organs	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4120	1	4119	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
224	Benign neoplasm of eye	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4466	1	4465	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
224.1	Benign neoplasm of eye, uveal	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4465	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
225	Benign neoplasm of brain and other parts of nervous system	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4470	5	4465	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
225.1	Benign neoplasm of brain, cranial nerves, meninges	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4467	2	4465	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
225.2	Benign neoplasm of spinal cord, meninges	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4467	2	4465	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
226	Benign neoplasm of thyroid glands	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4473	2	4471	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
227	Benign neoplasm of other endocrine glands and related structures	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4474	3	4471	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
227.1	Benign neoplasm of adrenal gland	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4472	1	4471	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
227.2	Benign neoplasm of parathyroid gland	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4471	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4473	2	4471	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
228	Hemangioma and lymphangioma, any site	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4476	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
228.1	Hemangioma of skin and subcutaneous tissue	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4476	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
229	Benign neoplasm of unspecified sites	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4495	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
229.1	Benign neoplasm of lymph nodes	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4495	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
230	Kaposi's sarcoma	neoplasms	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4497	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
240	Simple and unspecified goiter	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4275	10	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
241	Nontoxic nodular goiter	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4281	16	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
241.1	Nontoxic uninodular goiter	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4272	7	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
241.2	Nontoxic multinodular goiter	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4277	12	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
242	Thyrotoxicosis with or without goiter	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4286	21	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
242.1	Graves' disease	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4281	16	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
242.2	Toxic multinodular goiter	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4265	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
242.3	Exophthalmos	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4269	4	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
242.31	Thyrotoxic exophthalmos	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4267	2	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
244.1	Secondary hypothyroidism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4284	19	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
244.2	Acquired hypothyroidism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4271	6	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
244.3	Iodine hypothyroidism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4265	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
244.5	Congenital hypothyroidism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4268	3	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
245	Thyroiditis	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4279	14	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
245.1	Thyroiditis, acute and subacute	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4268	3	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
245.2	Chronic thyroiditis	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4271	6	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
245.21	Chronic lymphocytic thyroiditis	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4271	6	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
246	Other disorders of thyroid	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4271	6	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
246.2	Thyroid cyst	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4266	1	4265	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
246.7	Abnormal results of function study of thyroid	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4265	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
249	Secondary diabetes mellitus	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4265	3	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.11	Type 1 diabetes with ketoacidosis	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4287	25	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.12	Type 1 diabetes with renal manifestations	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4273	11	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.13	Type 1 diabetes with ophthalmic manifestations	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4270	8	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.14	Type 1 diabetes with neurological manifestations	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4272	10	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.15	Diabetes type 1 with peripheral circulatory disorders	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4262	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
250.21	Type 2 diabetes with ketoacidosis	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4271	9	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.22	Type 2 diabetes with renal manifestations	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4276	14	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.23	Type 2 diabetes with ophthalmic manifestations	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4271	9	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.24	Type 2 diabetes with neurological manifestations	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4272	10	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.25	Diabetes type 2 with peripheral circulatory disorders	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4262	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
250.3	Insulin pump user	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4263	1	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.4	Abnormal glucose	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4269	7	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.41	Impaired fasting glucose	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4263	1	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.42	Other abnormal glucose	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4268	6	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.5	Glycosuria or Acetonuria	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4265	3	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.6	Polyneuropathy in diabetes	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4276	14	4262	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
250.7	Diabetic retinopathy	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4402	13	4389	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
251	Other disorders of pancreatic internal secretion	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4254	3	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
251.1	Hypoglycemia	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4110	29	4081	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
251.8	Abnormality of secretion of glucagon or gastrin	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4251	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
252	Disorders of parathyroid gland	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4259	8	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
252.1	Hyperparathyroidism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4254	3	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
252.2	Hypoparathyroidism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4256	5	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
253	Disorders of the pituitary gland and its hypothalamic control	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4276	25	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
253.1	Pituitary hyperfunction	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4259	8	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
253.11	Acromegaly and gigantism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4252	1	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
253.2	Pituitary hypofunction	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4255	4	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
253.3	Diabetes insipidus	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4253	2	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
253.4	Anterior pituitary disorders	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4255	4	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
253.5	Pituitary dwarfism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4263	12	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
253.7	Other disorders of neurohypophysis	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4251	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
254	Diseases of thymus gland	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4252	1	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
255	Disorders of adrenal glands	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4272	21	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
255.1	Adrenal hyperfunction	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4253	2	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
255.11	Cushing's syndrome	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4253	2	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
255.12	Hyperaldosteronism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4251	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
255.13	Medulloadrenal hyperfunction	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4251	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
255.2	Adrenal hypofunction	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4267	16	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
255.21	Glucocorticoid deficiency	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4262	11	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
255.22	Mineralocorticoid deficiency	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4251	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
255.3	Adrenogenital disorders	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4256	5	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
256.1	Hyperestrogenism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4251	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
257	Testicular dysfunction	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	1705	6	1699	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
257.1	Testicular hypofunction	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	1705	6	1699	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
258	Iatrogenic endocrine disorders	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4252	1	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
258.1	Postablative ovarian failure	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	2552	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
259	Other endocrine disorders	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4256	5	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
259.2	Carcinoid syndrome	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4251	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
259.3	Delay in sexual development and puberty NEC	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4258	7	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
259.4	Precocious sexual development and puberty NEC	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4255	4	4251	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
259.8	Polyglandular activity in multiple endocrine adenomatosis	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4251	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
260.1	Cachexia	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4215	6	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
260.2	severe protein-calorie malnutrition	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4239	30	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
260.21	Kwashiorkor	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4209	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
260.22	Nutritional marasmus	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4215	6	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
260.3	Adult failure to thrive	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4217	8	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
260.6	Anorexia	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4223	14	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
261	Vitamin deficiency	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4248	39	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
261.1	Vitamin A deficiency	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4210	1	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
261.2	Vitamin B-complex deficiencies	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4221	12	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
261.3	Vitamin C deficiencies	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4209	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
261.4	Vitamin D deficiency	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4235	26	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
261.41	Rickets or osteomalacia	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4209	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
262	Mineral deficiency NEC	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4212	3	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
263	Other nutritional deficiency	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4214	5	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
264	Lack of normal physiological development	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4251	42	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
264.1	Short stature	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4219	10	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
264.2	Failure to thrive (childhood)	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4218	9	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
264.3	Delayed milestones	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4222	13	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
264.9	Lack of normal physiological development, unspecified	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4227	18	4209	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
269	Proteinuria	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4431	32	4399	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
270	Disorders of protein plasma/amino-acid transport and metabolism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4406	7	4399	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
270.1	Disturbances of amino-acid transport	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4400	1	4399	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
270.11	Disturbances of sulphur-bearing amino-acid metabolism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4400	1	4399	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
270.12	Phenylketonuria [PKU]	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4399	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
270.2	Disorders of amino-acid metabolism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4401	2	4399	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
270.21	Disorders of urea cycle metabolism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4400	1	4399	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
270.3	Disorders of plasma protein metabolism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4403	4	4399	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
270.31	Polyclonal hypergammaglobulinemia	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4399	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
270.32	Paraproteinemia	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4400	1	4399	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
270.33	Amyloidosis	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4399	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
270.34	Alpha-1-antitrypsin deficiency	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4400	1	4399	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
270.35	Macroglobulinemia	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4399	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
270.38	Other specified disorders of plasma protein metabolism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4401	2	4399	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
271	Disorders of carbohydrate transport and metabolism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4493	3	4490	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4491	1	4490	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
271.9	Other disorders of carbohydrate transport and metabolism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4492	2	4490	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
272.11	Hypercholesterolemia	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4330	23	4307	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
272.12	Hyperglyceridemia	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4312	5	4307	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
272.13	Mixed hyperlipidemia	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4339	32	4307	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
272.14	Hyperchylomicronemia	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4308	1	4307	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
272.9	Unspecified disorder of lipoid metabolism	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	NA	4307	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]	NA	NA
274	Gout and other crystal arthropathies	endocrine/metabolic	case_status	NA	NA	NA	NA	NA	NA	NA	logistic	4488	8	4480	NA	NA	0	 [Error: < 50  cases or controls]	NA	NA
